player_id,match_id,assists,attempt_at_goal,attempt_at_goal_against_on_target,attempt_at_goal_blocked,attempt_at_goal_from_free_kicks,attempt_at_goal_inside_the_penalty_area,attempt_at_goal_inside_the_penalty_area_on_target,attempt_at_goal_off_target,attempt_at_goal_on_target,attempt_at_goal_outside_the_penalty_area,attempt_at_goal_outside_the_penalty_area_on_target,corners,crosses,crosses_completed,direct_free_kicks,direct_red_cards,fouls_against,fouls_for,free_kicks,gk_saves,gk_saves_on_target,goal_kicks,goals,goals_conceded,goals_from_direct_free_kicks,goals_inside_the_penalty_area,goals_outside_the_penalty_area,headed_attempt_at_goal,indirect_free_kicks,indirect_red_cards,matches_played,offsides,own_goals,passes,passes_completed,penalties,penalties_scored,red_cards,substitutions_in,substitutions_out,throw_ins,time_played,yellow_cards,attempt_at_goal_against,attempt_at_goal_from_ball_progression,attempt_at_goal_from_corner,attempt_at_goal_from_cross,attempt_at_goal_from_other,attempt_at_goal_from_pass,attempt_at_goal_from_penalty,attempt_at_goal_from_rebound,attempted_ball_progressions,attempted_switches_of_play,avg_speed,clean_sheets,completed_ball_progressions,completed_switches_of_play,defensive_pressures_applied,direct_defensive_pressures_applied,distance_high_speed_running,distance_high_speed_sprinting,distance_jogging,distance_low_speed_sprinting,distance_walking,distributions_completed_under_pressure,distributions_under_pressure,forced_turnovers,goalkeeper_defensive_actions_inside_penalty_area,goalkeeper_defensive_actions_outside_penalty_area,goalkeeper_save_percentage,goalkeeper_saves,goalkeeper_saves_on_target,goals_conceded_from_attempt_at_goal_against,linebreaks_attempted,linebreaks_attempted_all_lines,linebreaks_attempted_attacking_and_midfield_line,linebreaks_attempted_attacking_line,linebreaks_attempted_attacking_line_completed,linebreaks_attempted_attacking_line_completed_only,linebreaks_attempted_attacking_line_only,linebreaks_attempted_completed,linebreaks_attempted_defensive_line,linebreaks_attempted_defensive_line_completed,linebreaks_attempted_defensive_line_completed_only,linebreaks_attempted_defensive_line_only,linebreaks_attempted_midfield_and_defensive_line,linebreaks_attempted_midfield_line,linebreaks_attempted_midfield_line_completed,linebreaks_attempted_midfield_line_completed_only,linebreaks_attempted_midfield_line_only,linebreaks_attempted_under_pressure,linebreaks_completed_all_lines,linebreaks_completed_attacking_and_midfield_line,linebreaks_completed_midfield_and_defensive_line,linebreaks_completed_under_pressure,number_of_involvements,number_of_possession_sequences,number_of_shot_ending_sequences,offers_to_receive_in_behind,offers_to_receive_in_between,offers_to_receive_in_front,offers_to_receive_inside,offers_to_receive_outside,offers_to_receive_total,received_offers_to_receive,receptions_between_midfield_and_defensive_line,receptions_in_behind,receptions_under_direct_pressure,receptions_under_indirect_pressure,receptions_under_no_pressure,receptions_under_pressure,speed_runs,sprints,take_ons_completed,threat,top_speed,total_distance,xg,attempt_at_goal_from_freekick,team_id,team_name,player_name,player_number,position,birthday
215285,151600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,43911,MEX,Guillermo OCHOA,13,Goalkeeper,1985-07-13T00:00:00Z
356731,151600,0,4,0,1,1,3,2,1,2,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,2,0,0,1,1,0,17,14,0,0,0,0,1,0,79.44065,0,3,0,1,2,0,0,0,0,1,0,5.642728328704834,1,0,0,21,0,928.1099853515625,116.86000061035156,2730.449951171875,389.97998046875,3337.630126953125,13,17,3,0,0,0,0,0,0,5,1,0,1,1,0,0,4,2,1,0,1,0,2,2,1,1,1,1,0,0,1,47,23,7,13,12,0,21,4,25,8,18,3,3,14,8,17,67,33,0,3.487812042236328,33.30720520019531,7503.02978515625,0.7761820554733276,1,43911,MEX,Raul JIMENEZ,9,Forward,1991-05-05T00:00:00Z
372090,151600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,43911,MEX,Orbelin PINEDA,17,Midfielder,1996-03-24T00:00:00Z
386339,151600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,43911,MEX,Guillermo MARTINEZ,22,Forward,1995-03-15T00:00:00Z
395516,151600,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,65,60,0,0,1,0,0,0,95.1094,0,3,0,0,0,0,0,0,0,0,0,5.295722007751465,1,0,0,3,2,840.5001220703125,86.04000091552734,3690.93994140625,300.94000244140625,3627.47998046875,16,20,2,0,0,0,0,0,0,24,3,2,13,10,8,8,14,3,1,0,0,0,8,3,1,3,11,1,1,0,5,142,47,2,1,0,5,2,4,6,3,1,0,0,5,59,5,72,25,0,0.03136115521192551,30.0997371673584,8545.900390625,0,NA,43911,MEX,Cesar MONTES,3,Defender,1997-02-24T00:00:00Z
400634,151600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,14,0,0,0,1,0,0,21.455916666666667,0,3,0,0,0,0,0,0,0,0,1,5.615422248840332,1,0,1,4,3,307.44000244140625,104.55000305175781,706.969970703125,143.94000244140625,744.760009765625,4,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5,5,5,5,1,0,0,0,1,32,8,0,2,4,13,15,4,19,8,1,0,0,5,11,5,28,15,0,0.3603105843067169,31.457359313964844,2007.659912109375,0,NA,43911,MEX,Edson ALVAREZ,4,Defender,1997-10-24T00:00:00Z
402772,151600,0,2,0,0,0,1,0,2,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,54,46,0,0,0,0,0,13,101.00468333333333,0,3,0,0,0,0,2,0,0,1,1,5.752878665924072,1,0,1,16,2,1022.4300537109375,185.22000122070312,3932.39013671875,357.05999755859375,4195.4501953125,13,24,1,0,0,0,0,0,0,13,1,2,4,2,0,1,6,3,1,1,2,0,6,3,1,3,4,0,2,0,1,109,43,3,9,13,10,6,26,32,10,16,1,1,6,41,7,86,29,0,0.22967220842838287,30.290681838989258,9692.5498046875,0.03632623702287674,NA,43911,MEX,Jesus GALLARDO,23,Defender,1994-08-15T00:00:00Z
403585,151600,1,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37,33,0,0,0,0,0,1,101.00468333333333,0,3,0,0,0,0,0,0,0,2,0,5.9543304443359375,1,2,0,11,4,1293.02001953125,181.67999267578125,4293.6201171875,499.8000183105469,3763.010009765625,31,36,2,0,0,0,0,0,0,13,1,0,4,3,2,3,10,4,4,3,3,0,5,3,2,4,13,1,0,0,10,86,38,5,22,14,5,11,30,41,12,19,2,2,17,21,19,116,43,2,0.7248509526252747,32.17203140258789,10031.1298828125,0,0,43911,MEX,Roberto ALVARADO,25,Forward,1998-09-07T00:00:00Z
403596,151600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,43911,MEX,Jorge SANCHEZ,2,Defender,1997-12-10T00:00:00Z
406135,151600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,43911,MEX,Cesar HUERTA,21,Forward,2000-12-03T00:00:00Z
